NIL,IdNIL,JJI,Media01,IMG,AMPI,Nil,Residenti,N_fermate_metro,Corse_metro_settimana,N_fermate_tram,Corse_tram_settimana,N_fermate_bus,Corse_bus_settimana,N_fermate_filobus,Corse_filobus_settimana,Posti_auto_GuidaMi,Stalli_BikeMi,N_colonnine_elettriche,Numero_stalli_bike
QT 8,66,141.966,0.151,110.828,109.007836970558,QT 8,4140,1,2102,0,0,9,436.666666666667,3,1616,0,30,0,233
Portello,67,479.615,0.085,106.016,103.139543179323,Portello,8524,2,3800,9,1382.66666666667,5,319,2,1208,2,84,0,186
Pagano,68,225.223,0.039,101.945,100.176380644104,Pagano,17708,2,3175,18,838.277777777778,15,565.133333333333,0,0,14,312,4,540
Sarpi,69,88.124,0.016,99.563,98.6977152454194,Sarpi,31028,2,3800,20,1264.65,19,1087.36842105263,0,0,6,248,0,405
Ghisolfa,70,253.173,0.047,102.667,100.585398238596,Ghisolfa,17975,1,3800,15,879.733333333333,4,1175.75,2,1208,10,141,0,22
Villapizzone,71,65.042,0.015,99.404,98.6113113427015,Villapizzone,41468,0,0,42,1005.09523809524,30,707,4,1195,8,87,0,212
Maggiore - Musocco,72,18.74,0.001,97.912,97.7881900408437,Maggiore - Musocco,6265,0,0,9,939.111111111111,31,497.870967741935,0,0,0,0,0,20
Cascina Triulza - Expo,73,3.926,0,97.875,97.7647657803951,Cascina Triulza - Expo,856,0,0,0,0,1,374,0,0,0,0,0,0
Sacco,74,56.442,0.003,98.125,97.9255663988923,Sacco,262,0,0,3,1587.33333333333,2,611.5,0,0,0,0,0,32
Stephenson,75,1,0,97.857,97.7529890948079,Stephenson,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quarto Oggiaro,76,17.607,0,97.879,97.7669518835068,Quarto Oggiaro,30729,0,0,8,1583.5,31,754.935483870968,0,0,0,0,1,158
Bovisa,77,215.597,0.073,105.033,102.625296067038,Bovisa,13986,0,0,3,818,14,639.142857142857,11,823.181818181818,16,141,2,414
Farini,78,199.355,0.181,113.164,112.205636391394,Farini,3911,0,0,3,818,1,637,8,1197.5,6,81,0,35
Dergano,79,300.262,0.039,101.938,100.103593549631,Dergano,23147,2,3056,3,740.666666666667,15,639.666666666667,1,1195,12,90,1,142
Affori,80,11.916,0.013,99.174,98.5286862233567,Affori,25341,2,3056,0,0,6,870,0,0,0,0,0,187
Bovisasca,81,5.627,0,97.883,97.7697268011989,Bovisasca,7037,0,0,0,0,16,734.125,0,0,0,0,0,156
Comasina,82,3.738,0,97.868,97.760312592852,Comasina,9616,0,0,0,0,12,573.333333333333,0,0,0,0,0,5
Bruzzano,83,13.849,0.018,99.663,98.8782315991285,Bruzzano,12889,1,3056,0,0,10,655.9,0,0,0,0,0,61
Parco Nord,84,13.812,0.01,98.826,98.416328495578,Parco Nord,98,0,0,0,0,9,397.888888888889,0,0,0,0,0,66
Parco delle Abbazie,85,9.031,0.002,98.074,97.8945640669752,Parco delle Abbazie,446,0,0,0,0,10,377.8,0,0,0,0,0,36
Parco dei Navigli,86,1,0,97.857,97.7529890948079,Parco dei Navigli,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parco Agricolo Sud,87,1,0,97.857,97.7529890948079,Parco Agricolo Sud,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parco Bosco in Città,88,5.027,0.001,97.958,97.8182321602866,Parco Bosco in Città,596,0,0,0,0,6,588.666666666667,0,0,0,0,0,0
